order,family,genus,specificEpithet,countryDistribution,biogeographicRealm,iucnStatus,Scientific_Name
Didelphimorphia,Didelphidae,Monodelphis,americana,Brazil|Argentina?,Neotropic,LC,Monodelphis americana
Dasyuromorphia,Dasyuridae,Antechinus,leo,Australia,Australasia,LC,Antechinus leo
Peramelemorphia,Peramelidae,Microperoryctes,murinus,Indonesia,Australasia,VU (as Microperoryctes murina),Microperoryctes murinus
Diprotodontia,Acrobatidae,Acrobates,pygmaeus,Australia,Australasia,LC,Acrobates pygmaeus
Diprotodontia,Pseudocheiridae,Pseudochirulus,larvatus,Indonesia|Papua New Guinea,Australasia,LC,Pseudochirulus larvatus
Pilosa,Bradypodidae,Bradypus,pygmaeus,Panama,Neotropic,CR,Bradypus pygmaeus
Macroscelidea,Macroscelididae,Elephantulus,fuscus,Malawi|Mozambique|Zambia?,Afrotropic,DD,Elephantulus fuscus
Primates,Cercopithecidae,Chlorocebus,aethiops,Egypt?|Eritrea|Ethiopia|Djibouti|Sudan|South Sudan,Afrotropic,LC,Chlorocebus aethiops
Primates,Cercopithecidae,Macaca,mulatta,Afghanistan|Pakistan|India|China|Nepal|Bhutan|Bangladesh|Myanmar|Thailand|Laos|Vietnam,Indomalaya|Palearctic,LC,Macaca mulatta
Primates,Cercopithecidae,Papio,hamadryas,Saudi Arabia|Yemen|Sudan|Eritrea|Djibouti|Ethiopia|Somalia,Afrotropic,LC,Papio hamadryas
Primates,Cercopithecidae,Colobus,guereza,Nigeria|Cameroon|Chad|Central African Republic|Gabon|Republic of the Congo|Democratic Republic of the Congo|South Sudan|Uganda|Ethiopia|Kenya|Tanzania|Rwanda,Afrotropic,LC,Colobus guereza
Primates,Cercopithecidae,Nasalis,larvatus,Indonesia|Brunei|Malaysia,Indomalaya,EN,Nasalis larvatus
Primates,Cercopithecidae,Trachypithecus,francoisi,China|Vietnam,Indomalaya,EN,Trachypithecus francoisi
Primates,Hominidae,Gorilla,beringei,Democratic Republic of the Congo|Uganda|Rwanda,Afrotropic,CR,Gorilla beringei
Primates,Hominidae,Gorilla,gorilla,Nigeria|Cameroon|Central African Republic|Equatorial Guinea|Gabon|Republic of the Congo|Angola,Afrotropic,CR,Gorilla gorilla
Primates,Hominidae,Homo,sapiens,,,NE,Homo sapiens
